Please, show some respect.	拜託了，給點尊重。
Cheesecloth.	起司布。
Ladder up to the loft where the Healer has her personal quarters.  No, you can't go up the ladder.	通往閣樓的梯子，那是治療師的私人房間。不行，你爬不上去。
The makings of various potions.	各式藥水的材料。
Iron holder fit for a lit torch.	適合放點燃火把的鐵架。
This and that.	七七八八的東西。
Ingredients.	材料。
Petrified icicles and greens.	石化的冰柱和綠色植物。
The fragrance of the herbs mingle with some other rather pungent odors as you step into the Healer's house.	踏進治療師的家，草藥香與其他相當刺鼻的氣味混在一起。
"What can I do for you?  I can sell you potions if you like.  I also buy spell components if you are interested in gathering some for me."	「有什麼我能幫你的嗎？想要的話我可以賣你藥水。如果你有興趣幫我收集咒語成分，我也會買。」
"Don't mind me, I always have so much to do around here."	「別在乎我，我這裡總是忙得不可開交。」
You say to the Healer "I have been to visit the Dryad of the Woods.  She gave me a Magic Acorn and told me the formula for a potion to dispel enchantments!"	你對治療師說「我去拜訪了樹林的樹精。她給了我一個魔法橡果，還告訴我解除魔法的藥水公式！」
"Here is the Potion of Dispel!  Use it by splashing it on the victim of a magic spell.  Mind you, this won't work if the spell is caused by a magic item rather than a cast spell."	「這是解咒藥水！把它潑在魔法咒語的受害者身上就行。注意，如果咒語是由魔法物品引起的而不是施放的咒語，這招就不管用。」
"Thank you so much.  Oh, I'm so happy to have my ring back!"	「非常感謝。哦，我好高興能拿回我的戒指！」
You put the reward away and tell her she is welcome as you leave to avoid being kissed again.	你把獎勵收起來，趁著離開前告訴她不用客氣，免得再被親一次。
You can't offer what you don't have.	你沒有的東西無法提供。
"Annoy me not over matters so minor."	「別為小事煩我。」
The mountains rise quickly from this point and are covered with snow.	從這裡往上，群山急速上升，佈滿白雪。
The snow has melted in most of the forest, but here it is still heavy.	雪在大部分森林都融化了，但這裡積得還很厚。
You don't see a gem here.	這裡沒有寶石。
Fruit you have found, to fill all my food stores,\nThus filled the bargain, my gem you have bought.\nBrauggi has bartered, and all has been answered;\nThe mead it may mellow, and now I head home.	你尋得的果實填滿了糧倉，\n交易已成，寶石已買。\n布勞基交易成，一切已說；\n蜂蜜醇厚，我將歸家去。
"Oops!"  you say.  "I guess I don't have any fruit for you.  Sorry!"	「唉呀！」你說。「看來我沒有水果給你。抱歉！」
"In matters of magic, I am your master; Seek not to slay me with sendings so small."	「在魔法的事上，我才是高手；別想用那點小把戲來對付我。」
This large rock covers a Meep hole.	這塊大石頭蓋住了一個咪普洞穴。
A furry blue Meep	一隻毛茸茸的藍色咪普
A furry purple Meep	一隻毛茸茸的紫色咪普
A furry green Meep	一隻毛茸茸的綠色咪普
Try going over to where the Meeps are if you really want to hack them into little furry bits.	真想把他們砍成碎片的話，就去咪普們那邊吧。
You don't have a rock	你沒有石頭
You can't get that from where you're standing.	從你現在站的地方拿不到那個。
The Meeps would not appreciate it if you tried to take their fur -- the weather here is still very cold.	咪普們不會感激你拔它們的毛——這裡天氣還很冷。
You don't see a Spell Scroll here.	這裡沒有法術捲軸。
You don't see any baby Meeps at the moment.	現在看不到小咪普。
There seems to be an abundant supply of blue and purple Meeps.  If only they'd stay still for a moment, perhaps you could count them.	看起來有不少藍色和紫色的咪普。要是它們能靜一下，也許你就能數出來有幾隻。
The scroll is blank now, but once contained the Detect Magic spell.	捲軸現在是空白的，但曾經含有偵測魔法法術。
You don't see any Meeps to talk to at the moment.	現在看不到能說話的咪普。
"We use rocks for doors.  They keep us dry and warm."	「我們用石頭做門。它們讓我們保持乾燥溫暖。」
"Hey, go ahead, take it. It's yours."	「嘿，去吧，拿去。它是你的。」
"Gee, boss, I really don't know much about that at all.  Hey, sorry."	「嘿，老闆，我真的對那一竅不通。嘿，抱歉。」
Why, that's me!	嘿，那是我！
Man, those rocks are tough!	天啊，那些石頭可硬了！
Hiya, hiya.  Nice to seeya 'gain.	嘿呀，嘿呀。很高興又見到你了。
Hiya, hiya.  Really pleased to meetcha.	嘿呀，嘿呀。很高興認識你。
"Hey, there ya go.  Hope it helps ya."	「嘿，給你了。希望能幫到你。」
"Hey, sorry I couldn't help ya."	「嘿，抱歉我幫不了你。」
Oh, you want %s?  I think I have %s somewhere around here.	哦，你要 %s？我想我這邊某個地方有 %s。
Gosh, I don't seem to have anything like that left.  Really sorry 'bout that.	天啊，我好像沒有那種東西了。真的很抱歉。
You pick up the pile of soft green fur and carefully place it in your pack.	你拿起那堆柔軟的綠色毛皮，小心地放進背包。
The magical runes fade from the paper before your eye can focus on them.	魔法符文在你眼睛聚焦前，就從紙上消褪了。
As the ghosts suck the life out of your body, and you crumple into the dust of the old graveyard, you think unspeakable thoughts of torture and torment directed at programmers, game designers, and vicious artists named Kenn.	當鬼魂吸乾你的生命，你倒在古老墓地的塵埃裡，你想著要對程式設計師、遊戲設計師，和一位叫肯恩的兇狠美術設計進行難以名狀的折磨。
The carving on the gravestones, for the most part, seems to have been intentionally defaced and worn with time.	墓碑上的刻文大多數看起來是故意被破壞、經年累月磨損的。
You sense what nobody needed to tell you:  SOMETHING is making those spirits fly around, and it isn't the wind.	你感覺到無人需要告訴你的東西：有什麼東西在讓那些靈魂四處飛舞，絕不是風。
The only things that can be opened here are graves, and you don't want to open THOSE!	這裡唯一能打開的就是墳墓，而你不想打開它們！
Your magical abilities are to no avail against the undead.	你的魔法能力對不死生物毫無作用。
You can't see the bottom of the hole before you.	你看不到眼前洞穴的底部。
There is a very large and very dead tree which hovers over the graveyard.	有一棵非常大、已經死透的樹懸在墓地上方。
You see the rotted remains of a picket fence.	你看到了腐爛的柵欄殘骸。
What at first appears to be a ladder turns out to be the rotted remains of a picket fence.	起初看起來像梯子的東西，其實是腐爛的柵欄殘骸。
Let's see...root..root...\nI know I put that root SOMEwhere!	讓我看看…根…根…\n我知道我把那個根放在某個地方！
You don't see it.	你看不到它。
You haven't found it yet.	你還沒找到。
It appears that you have company in the graveyard tonight.	看起來你今晚在墓地裡有同伴。
You stepped into a hole whose depth is unfathomable.  As you fall ever downward, you feel icy fingers clutching at you, and you think: "How could I be so careless?"	你踩進了深不可測的洞裡。當你不斷往下墜，你感到冰冷的手指抓住你，你想：「我怎麼會這麼不小心？」
The town gate is locked for the night.	城鎮大門已上鎖過夜。
The gate is open.	大門是開著的。
The town gate is closed.	城鎮大門是關著的。
The road from town branches here.  The eastern fork is the road which brought you into this valley.	從城鎮出來的路在這裡分岔。東邊的叉路是帶你進入山谷的那條路。
The town wall is made of very sturdy carved rock.  The sign has been carved from wood.	城鎮圍牆用堅固的雕刻石塊做成。標誌是用木頭雕刻的。
Its a road.	這是一條路。
Heavy forest looms to the south.	南邊籠罩著濃密的森林。
The breeze is cool, but you feel a shiver deeper than just the cold.  You are on your own in a very dangerous place.	微風很涼爽，但你感到的寒意遠超於溫度。你獨自一人在一個非常危險的地方。
Bruno is big and a tough fighter.  He's also very adept at throwing daggers.	布魯諾身型壯碩，是個硬漢格鬥家。他也很擅長投擲匕首。
Next to the town's wall, you notice a man who appears to be waiting for someone.	在城牆旁邊，你注意到一個看起來在等人的男人。
Bruno hangs around the town gates.  He will sell information.	布魯諾常在城門口閒晃。他會賣情報。
It looks like a particularly deadly weapon, and the thief handles it with great skill.	看起來像是特別致命的武器，那個盜賊用高超的手法操控著。
Bruno nods and makes the countersign.  "Ya need ta talk to Sneak about the password.  Ya can find him in the alley at night."	布魯諾點頭做出對暗號。「你需要和斯尼克談密碼。你可以在晚上在小巷裡找到他。」
"Give me dough- ya know."	「給我錢——你懂的。」
You had better talk with him and find out how much he wants for his information.	你最好和他聊聊，瞭解他的情報要多少錢。
"For another silver, I can tell ya about where to go to find the Baron, Baba Yaga, or some goblins who have a lot of treasure. So if ya want some information, hand me some cash."	「再給一枚銀幣，我可以告訴你去哪裡找男爵、芭芭雅嘎，或有很多寶藏的哥布林。所以要是你想要情報，就給我錢吧。」
Don't mess around with Bruno.  You don't have a silver.	別招惹布魯諾。你沒有銀幣。
(Specify how many gold coins to give him.)	（請指定要給他幾個金幣。）
"Okay, whaddaya wanna know"	「好吧，你想知道什麼」
"What's this for?"	「這是幹什麼的？」
"Don't get me wrong.  I'll take it!"	「別誤會。我拿著了！」
You don't have enough money.	你沒有足夠的錢。
"I seen her one time yelling out to the house, 'Hut of brown, now sit down.'  That's one spooky dame, let me tell you."	「我有一次看她對著房子大喊『棕色小屋，現在坐下。』我跟你說，那個女人真恐怖。」
"Okay, whaddaya wanna know?"	「好吧，你想知道什麼？」
"For ten golds, I'll even tell ya where to find some of the robbers what have been robbing people coming into the valley."	「十個金幣，我甚至可以告訴你去哪裡找那些搶劫進山谷的人的盜賊。」
"Go south and you'll see a hollow log.  Then head west until ya can go south again.  Then go east until you can go south again.  From there, go west.  Them brigands just love visitors."	「往南走，你會看到一個空心木頭。然後往西走，直到你能再往南走。然後往東走，直到你能再往南走。從那裡往西走。那些山賊最喜歡招待訪客。」
"Nobody knows much about the leader."	「沒人太了解那個領導者。」
"For ten gold, I'll tell ya where some of those robbers are that're robbin' folks as they come inta the valley."	「十個金幣，我可以告訴你那些搶劫進山谷的人的山賊在哪裡。」
"Just call me Bruno.  That was an easy silver."	「叫我布魯諾就好。那是筆容易的銀幣。」
"She's an ugly hag who knows some magic.  She lives in a weird house."	「她是個懂點魔法的醜老女巫。她住在奇怪的房子裡。」
"Her place is due west of the Baron's place.  Can't miss it.  And for two gold, I'll tell ya how to get into her hut."	「她的地方在男爵的正西邊。肯定能找到。再加兩個金幣，我可以告訴你怎麼進她小屋。」
"Ya just take the road north from here past the Healer's and go till ya get to his castle."	「你只需從這裡往北走，經過治療師那邊，一直走到他的城堡。」
"The little pests are just nothwest of the cemetery.  They're a bunch of wimps."	「那些小蟲子就在墓地西北方。他們都是些軟腳蝦。」
"It's due west of town.  Nice place to visit, but I wouldn't want to stay, if ya know what I mean."	「在城鎮的正西邊。是個值得一遊的好地方，但我不想待著，你懂我的意思吧。」
"He's some kinda magic user.  And he laughs alot.  That's all I know."	「他是某種魔法使用者。而且他經常笑。我只知道這些。」
"Hey, I just know what I know.  If you want other info, ask someone else."	「嘿，我就是知道我知道的。要是你想要其他情報，去問別人吧。」
hi	嗨
"For a gold, well, I can tell where the Thieves' Guild is hidden."	「一個金幣的話，我可以告訴你盜賊公會隱藏在哪裡。」
"You talk'n ta me?"	「你在跟我說話？」
"Why dontcha leave me alone?  I ain't done nothin'."	「你幹嘛不放過我？我沒幹什麼。」
"You look nervous.  Why dontcha take a walk and cool off."	「你看起來很緊張。你幹嘛不出去走走，冷靜一下。」
The forest deepens north and south of you.  To the east, the road twists it's way up the mountain.  To the west, the road is hidden by trees.	南北方的森林深入你的位置。向東，道路蜿蜒上山。向西，道路被樹木隱沒。
For a moment there, you thought you saw something. You can't see anything now.	有一瞬間，你以為看到了什麼。現在什麼也看不到。
It seems to be a simple spring trap and you can easily open it.	看起來是簡單的彈簧陷阱，你可以輕易打開它。
The trap seems to be caught on something.	陷阱好像被什麼東西卡住了。
You can see no sign of a trap here.	你看不到這裡有任何陷阱的跡象。
The fox seems to have a foot caught in a trap.	狐狸好像有一隻腳卡在陷阱裡。
You must free the fox first.	你必須先救出狐狸。
Walk over to the trap.	走過去找陷阱。
You don't see the trap now.  It seems to have vanished.	你現在看不到陷阱。看起來它消失了。
There's no one here to fight.	這裡沒有人可以戰鬥。
You would need a sword.	你需要一把劍。
That was strange, no sooner did you kill the fox than it vanishes.	那很奇怪，你才殺死狐狸，它就消失了。
Yep.  It's open, all right.	是的。它確實是開著的。
"As for the amusing tidbit - Baba Yaga put an enchantment on the Baron's Daughter some years back.  To break the spell you need to talk to the Dryad.  Au Revoir, Ta-ta, see you sometime."	「至於那個有趣的小故事——幾年前芭芭雅嘎對男爵之女施下了魔法。要破除法術，你需要和樹精談談。再見，拜拜，等著見。」
That's not worth any game points, and will not make the fox feel any better.	那沒有任何遊戲點數，也不會讓狐狸好受點。
You are in a clearing at the edge of the forest. The road you have been following is completely blocked by a very recent avalanche.	你在森林邊緣的空地上。你一直跟著的路被最近發生的雪崩完全堵住了。
It appears that a very recent avalanche has sealed off the road leading out of the valley.	看起來最近發生的雪崩已經堵住了通往山谷外的路。
The meadow clearing in which you stand is grassy; the road is densely packed and slightly muddy.	你站著的草地空地是草地；道路密集且略微泥濘。
The low-lying bushes form tight tangles of shrubbery between the trees.	低矮的灌木在樹之間形成緊密的灌木叢。
A tumbled pattern of rocks can be seen at the forest's edge.	在森林邊緣可以看到一堆堆疊的岩石。
The ragged peaks of the snow-covered mountains can be seen clearly. The pass, however, is blocked by very recent avalanches.	雪山的參差不齊的山峰可以清楚看到。但是通道被最近的雪崩堵住了。
There are no caves here.	這裡沒有洞穴。
Climbing would serve no purpose right now.	現在爬山沒有任何用處。
Hi, Kris!	嗨，克里斯！
Hi, little kid!	嗨，小鬼！
Hi, Max!	嗨，馬克斯！
